ItemCode	ItemName	ForeignName	ItemsGroupCode	CustomsGroupCode	SalesVATGroup	BarCode	VatLiable	PurchaseItem	SalesItem	InventoryItem	IncomeAccount	ExemptIncomeAccount	ExpanseAccount	Mainsupplier	SupplierCatalogNo	DesiredInventory	MinInventory	Picture	User_Text	SerialNum	CommissionPercent	CommissionSum	CommissionGroup	TreeType	AssetItem	DataExportCode	Manuacturer	ManageSerialNumbers	ManageBatchNumbers	Valid	ValidFrom	ValidTo	ValidRemarks	Frozen	FrozenFrom	FrozenTo	FrozenRemarks	SalesUnit	SalesItemsPerUnit	SalesPackagingUnit	SalesQtyPerPackUnit	SalesUnitLength	SalesLengthUnit	SalesUnitWidth	SalesWidthUnit	SalesUnitHeight	SalesHeightUnit	SalesUnitVolume	SalesVolumeUnit	SalesUnitWeight	SalesWeightUnit	PurchaseUnit	PurchaseItemsPerUnit	PurchasePackagingUnit	PurchaseQtyPerPackUnit	PurchaseUnitLength	PurchaseLengthUnit	PurchaseUnitWidth	PurchaseWidthUnit	PurchaseUnitHeight	PurchaseHeightUnit	PurchaseUnitVolume	PurchaseVolumeUnit	PurchaseUnitWeight	PurchaseWeightUnit	PurchaseVATGroup	SalesFactor1	SalesFactor2	SalesFactor3	SalesFactor4	PurchaseFactor1	PurchaseFactor2	PurchaseFactor3	PurchaseFactor4	ForeignRevenuesAccount	ECRevenuesAccount	ForeignExpensesAccount	ECExpensesAccount	AvgStdPrice	DefaultWarehouse	ShipType	GLMethod	TaxType	MaxInventory	ManageStockByWarehouse	PurchaseHeightUnit1	PurchaseUnitHeight1	PurchaseLengthUnit1	PurchaseUnitLength1	PurchaseWeightUnit1	PurchaseUnitWeight1	PurchaseWidthUnit1	PurchaseUnitWidth1	SalesHeightUnit1	SalesUnitHeight1	SalesLengthUnit1	SalesUnitLength1	SalesWeightUnit1	SalesUnitWeight1	SalesWidthUnit1	SalesUnitWidth1	ForceSelectionOfSerialNumber	ManageSerialNumbersOnReleaseOnly	WTLiable	CostAccountingMethod	SWW	WarrantyTemplate	IndirectTax	ArTaxCode	ApTaxCode	BaseUnitName	ItemCountryOrg	IssueMethod	SRIAndBatchManageMethod	IsPhantom	InventoryUOM	PlanningSystem	ProcurementMethod	OrderIntervals	OrderMultiple	LeadTime	MinOrderQuantity	ItemType	ItemClass	OutgoingServiceCode	IncomingServiceCode	ServiceGroup	NCMCode	MaterialType	MaterialGroup	ProductSource	Properties1	Properties2	Properties3	Properties4	Properties5	Properties6	Properties7	Properties8	Properties9	Properties10	Properties11	Properties12	Properties13	Properties14	Properties15	Properties16	Properties17	Properties18	Properties19	Properties20	Properties21	Properties22	Properties23	Properties24	Properties25	Properties26	Properties27	Properties28	Properties29	Properties30	Properties31	Properties32	Properties33	Properties34	Properties35	Properties36	Properties37	Properties38	Properties39	Properties40	Properties41	Properties42	Properties43	Properties44	Properties45	Properties46	Properties47	Properties48	Properties49	Properties50	Properties51	Properties52	Properties53	Properties54	Properties55	Properties56	Properties57	Properties58	Properties59	Properties60	Properties61	Properties62	Properties63	Properties64	AutoCreateSerialNumbersOnRelease	DNFEntry	GTSItemSpec	GTSItemTaxCategory	U_u_familiaa	U_SubFamilia	U_Marca
3003662132	CARTUCHO MEZCLADOR  REMA GUN	NULL	109				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				300	3	66
3003662133	BOTELLA DE REMA GOO	NULL	109				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									KIT														KIT																														W		0	tYES																															KIT																																																																																				300	3	66
400620701	"BANDA CR28 1MM TERMOPLATIC PVC CXB (#102)30""ANCHO"	BANDA CR28 1MM TERMOPLATIC PVC CXB 32 CM X 240 CM S/F	103				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									FT														FT																														W		0	tNO																															FT																																																																																				400	6	20
8002477343	COLA DE ZORRO DE ACERO INOX. 1/2 X 1/2	NULL	102				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				800	24	77
80024773170	CUCHILLA DE TRABAJO PESADO 199 STANLEY	NULL	117				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				800	24	77
1002283171	"CAMISA DE 2"""	NULL	117				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				100	2	28
1002281492	CAMISA 3/4 NPT HEMBRA DE BRONCE	NULL	105				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				100	2	28
1002281493	CAMISA 1 NPT HEMBRA	NULL	105				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				100	2	28
1002281494	CAMISA 1/8 NPT HEMBRA	NULL	105				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				100	2	28
1002281495	CAMISA 1/4 NPT HEMBRA DE BRONCE	NULL	105				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				100	2	28
1002283168	"CAMISAS ACERO INOX. NPT DE 1""X 1"" COLA DE ZORRO NPT"	NULL	117				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				100	2	28
1002281491	CAMISA 3/8 NPT HEMBRA DE BRONCE	NULL	105				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				100	2	28
1002283169	CAMISA ACERO INOXIDABLE NPT 1/2X1/2 COLA DE ZORRO	NULL	117				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tYES																															UND																																																																																				100	2	28
1002281490	CAMISA 1/2 NPT HEMBRA DE BRONCE	NULL	105				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									UND														UND																														W		0	tNO																															UND																																																																																				100	2	28
400720707	"2 BANDA Desnuda AS B X B AS (#104as) 50FT Long x 24 """	NULL	103				tYES	tYES	tYES	tYES					NULL		0								tNO			tNO	tNO									FT														FT																														W		0	tNO																															FT																																																																																				400	7	20
